Unidade-Preset;CodCentro;NomeCentro;NomeIlha;TipoIlha;Qtd_Baias;Preset;Produto_agrupado
BABET-PRESET-01;5025;BABET;Ilha-01;B;1;PRESET-01;GASOLINA C
BABET-PRESET-02;5025;BABET;Ilha-01;B;1;PRESET-02;ETANOL HIDRATADO
BABET-PRESET-03;5025;BABET;Ilha-01;B;1;PRESET-03;DIESEL B S10
BABET-PRESET-04;5025;BABET;Ilha-02;T;2;PRESET-04;GASOLINA C
BABET-PRESET-05;5025;BABET;Ilha-02;T;2;PRESET-05;ETANOL HIDRATADO
BABET-PRESET-06;5025;BABET;Ilha-02;T;2;PRESET-06;DIESEL B S500
BABET-PRESET-07;5025;BABET;Ilha-03;T;2;PRESET-07;GASOLINA C
BABET-PRESET-08;5025;BABET;Ilha-03;T;2;PRESET-08;ETANOL HIDRATADO
BABET-PRESET-09;5025;BABET;Ilha-03;T;2;PRESET-09;DIESEL B S500
BABET-PRESET-10;5025;BABET;Ilha-04;T;2;PRESET-10;GASOLINA C
BABET-PRESET-11;5025;BABET;Ilha-04;T;2;PRESET-11;ETANOL HIDRATADO
BABET-PRESET-12;5025;BABET;Ilha-04;T;2;PRESET-12;DIESEL B S10
BABET-PRESET-13;5025;BABET;Ilha-05;T;2;PRESET-13;GASOLINA C
BABET-PRESET-14;5025;BABET;Ilha-05;T;2;PRESET-14;ETANOL HIDRATADO
BABET-PRESET-15;5025;BABET;Ilha-05;T;2;PRESET-15;DIESEL B S10
BABET-PRESET-16;5025;BABET;Ilha-06;T;2;PRESET-16;ETANOL HIDRATADO
BABET-PRESET-17;5025;BABET;Ilha-06;T;2;PRESET-17;GASOLINA C
BABET-PRESET-18;5025;BABET;Ilha-06;T;2;PRESET-18;DIESEL B S10
BABET-PRESET-19;5025;BABET;Ilha-07;T;2;PRESET-19;DIESEL B S10
BABET-PRESET-20;5025;BABET;Ilha-07;T;2;PRESET-20;GASOLINA C
BABET-PRESET-21;5025;BABET;Ilha-07;T;2;PRESET-21;DIESEL B S500
BABET-PRESET-22;5025;BABET;Ilha-08;T;2;PRESET-22;DIESEL B S500
BABET-PRESET-23;5025;BABET;Ilha-08;T;2;PRESET-23;JET-A
BABET-PRESET-24;5025;BABET;Ilha-08;T;2;PRESET-24;DIESEL B S10
BABET-PRESET-25;5025;BABET;Ilha-09;T;2;PRESET-25;JET-A
BABET-PRESET-26;5025;BABET;Ilha-09;T;2;PRESET-26;JET-A
BABET-PRESET-27;5025;BABET;Ilha-10;T;2;PRESET-27;GASOLINA PODIUM
BABET-PRESET-28;5025;BABET;Ilha-10;T;2;PRESET-28;DIESEL B S10
